user_id,social_media_followers_count,social_follower_cat,talent_categories,status,manager_id,interviewed_date,signed_date,int_sign_duration,active,source,sent,inserted_date_pst,age,age_group,state,country,gender,followers_count,video_int_dur,firework_follower_cat,time_zone,lat,long,potential,categories_count,first_category,second_category,third_category,fourth_category,fifth_category
28068,4844,3000-6000,"[""lifestyle""]",active_talent,47,4/24/18,5/23/18,29,1,instagram,0,4/29/18,20,18-24,District of Columbia,US,female,79,24,60-120,America/New_York,40.0217,-75.0518,0,1,lifestyle,,,,
218553,89100,>20000,"[""comedy""]",sent_contract,8053,6/18/18,,,0,instagram,1,6/17/18,22,18-24,,US,male,7,16,<20,America/New_York,,,0,1,comedy,,,,
246459,2557,1000-3000,"[""performance""]",active_talent,42612,7/5/18,7/9/18,4,1,instagram,1,7/3/18,23,18-24,New York,US,male,15,-2,<20,America/New_York,40.6448,-73.8803,0,1,performance,,,,
283933,2037,1000-3000,"[""travel""]",active_talent,223391,7/20/18,7/27/18,7,1,instagram,1,7/20/18,25,18-24,Texas,US,female,4,1,<20,America/Chicago,29.5504,-95.2505,0,1,travel,,,,
260670,4502,3000-6000,"[""lifestyle""]",not_interested,883,7/12/18,,,0,instagram,1,7/12/18,,UNKNOWN,New York,US,female,0,4,<20,America/New_York,40.692,-73.9268,0,1,lifestyle,,,,
36339,47600,>20000,"[""dance""]",active_talent,47,5/30/18,6/1/18,2,1,instagram,0,5/4/18,21,18-24,California,US,male,4393,-26,>200,America/Los_Angeles,34.0887,-118.3278,0,1,dance,,,,
204787,122000,>20000,"[""comedy""]",not_interested,15253,6/12/18,,,0,instagram,1,6/13/18,,UNKNOWN,California,US,male,47,4,20-60,America/Los_Angeles,34.0486,-118.4424,0,1,comedy,,,,
224578,96600,>20000,"[""fashion"", ""lifestyle""]",sent_contract,8053,6/19/18,,,0,instagram,1,6/19/18,0,0-12,California,US,female,3,0,<20,America/Los_Angeles,33.9869,-117.6555,0,2,fashion,lifestyle,,,
238762,5600,3000-6000,"[""lifestyle""]",active_talent,42612,7/2/18,7/19/18,17,1,instagram,1,6/29/18,22,18-24,New York,US,male,6,-3,<20,America/New_York,,,0,1,lifestyle,,,,
281183,9105,6000-10000,"[""lifestyle""]",active_talent,223391,7/23/18,7/30/18,7,1,instagram,1,7/18/18,29,25-34,Maryland,US,female,11,2,<20,America/New_York,38.969,-76.8537,0,1,lifestyle,,,,
134781,67300,>20000,"[""comedy""]",active_talent,47,5/20/18,,,1,instagram,0,5/19/18,25,18-24,California,US,female,267,-1,>200,America/Los_Angeles,34.0302,-118.2407,0,1,comedy,,,,
213520,300,<1000,"[""performance""]",sent_contract,47,6/22/18,,,0,instagram,1,6/15/18,,UNKNOWN,Michigan,US,female,26,-2,20-60,America/Detroit,42.5682,-83.9062,0,1,performance,,,,
226229,25100,>20000,"[""sport"", ""comedy"", ""lifestyle""]",sent_contract,8053,6/20/18,,,0,instagram,1,6/20/18,31,25-34,California,US,male,37,0,20-60,America/Los_Angeles,34.1006,-118.3275,0,3,sport,comedy,lifestyle,,
229035,3000,1000-3000,"[""dance""]",active_talent,42612,6/25/18,6/29/18,4,1,instagram,1,6/22/18,25,18-24,New York,US,female,26,-3,20-60,America/New_York,,,0,1,dance,,,,
229239,2858,1000-3000,"[""lifestyle""]",interviewed,2536,6/25/18,,,0,instagram,0,6/22/18,21,18-24,,US,female,0,,<20,America/Los_Angeles,,,0,1,lifestyle,,,,
250587,1375,1000-3000,"[""lifestyle""]",active_talent,223391,7/9/18,7/10/18,1,1,instagram,1,7/5/18,23,18-24,California,US,male,52,0,20-60,America/Los_Angeles,34.1648,-118.4008,0,1,lifestyle,,,,
228278,996,<1000,"[""travel""]",not_interested,8053,6/25/18,,,0,instagram,0,6/21/18,23,18-24,Marylan ,US,female,0,,<20,America/New_York,,,0,1,travel,,,,
233768,8836,6000-10000,null,not_interested,883,6/27/18,,,0,instagram,1,6/26/18,36,35+,,US,female,1,2,<20,America/Chicago,,,0,,,,,,
251174,135000,>20000,"[""lifestyle""]",sent_contract,8053,7/9/18,,,0,instagram,1,7/6/18,37,35+,New Jersey,US,female,0,-3,<20,America/New_York,,,0,1,lifestyle,,,,
204058,88,<1000,"[""lifestyle""]",sent_contract,42612,6/21/18,,,0,youtube,1,6/13/18,26,25-34,Queensland,AU,female,50,-2,20-60,Australia/Brisbane,-27.4833,152.9833,0,1,lifestyle,,,,
256744,3731,3000-6000,null,active_talent,8053,7/11/18,7/15/18,4,1,instagram,0,7/9/18,22,18-24,California,US,male,7,0,<20,America/Los_Angeles,34.0762,-118.3104,0,,,,,,
256851,3730,3000-6000,"[""lifestyle""]",active_talent,42612,7/13/18,7/19/18,6,1,instagram,1,7/9/18,31,25-34,California,US,female,14,-3,<20,America/Los_Angeles,34.0764,-118.2626,0,1,lifestyle,,,,
229719,1814,1000-3000,"[""dance""]",sent_contract,8053,6/25/18,,,0,instagram,1,6/22/18,23,18-24,California,US,female,9,1,<20,America/Los_Angeles,,,0,1,dance,,,,
231343,556,<1000,"[""performance""]",active_talent,8053,6/28/18,7/7/18,9,1,instagram,1,6/23/18,19,18-24,,US,female,2,1,<20,America/New_York,,,0,1,performance,,,,
257416,968,<1000,"[""lifestyle""]",sent_contract,2536,7/17/18,,,0,instagram,1,7/10/18,20,18-24,New York,US,female,1,-7,<20,America/New_York,43.0377,-76.1396,0,1,lifestyle,,,,
257600,688,<1000,"[""fashion""]",active_talent,33156,7/11/18,7/22/18,11,1,instagram,1,7/10/18,33,25-34,,US,female,0,1,<20,America/Los_Angeles,,,0,1,fashion,,,,
250902,4745,3000-6000,"[""lifestyle""]",active_talent,223391,7/6/18,7/11/18,5,1,instagram,1,7/5/18,42,35+,California,US,female,57,1,20-60,America/Los_Angeles,34.1073,-118.3719,0,1,lifestyle,,,,
235933,1644,1000-3000,"[""performance""]",followup,883,6/28/18,,,0,instagram,0,6/27/18,30,25-34,,US,male,0,,<20,America/Chicago,,,0,1,performance,,,,
233043,5006,3000-6000,null,not_interested,883,6/28/18,,,0,instagram,1,6/25/18,34,25-34,,US,female,0,,<20,America/Chicago,,,0,,,,,,
246762,1254,1000-3000,"[""dance""]",active_talent,42612,7/5/18,7/10/18,5,1,instagram,1,7/3/18,20,18-24,California,US,female,10,1,<20,America/Los_Angeles,,,0,1,dance,,,,
14393,2043,1000-3000,"[""travel""]",active_talent,47,4/6/18,4/28/18,22,1,instagram,0,4/23/18,26,25-34,Nevada,US,female,102,17,60-120,America/Los_Angeles,36.0584,-115.0584,0,1,travel,,,,
234359,3000,1000-3000,"[""comedy""]",active_talent,47,6/28/18,7/1/18,3,1,instagram,1,6/26/18,10,0-12,New South Wales,AU,female,48,-1,20-60,Australia/Sydney,-33.8612,151.1982,0,1,comedy,,,,
10966,43600,>20000,"[""lifestyle""]",active_talent,47,4/26/18,5/2/18,6,1,instagram,0,4/19/18,25,18-24,Florida,US,female,17,2,<20,America/New_York,25.9388,-80.2144,0,1,lifestyle,,,,
274631,1402,1000-3000,"[""lifestyle""]",sent_contract,245925,7/17/18,,,0,instagram,1,7/16/18,,UNKNOWN,California,US,female,16,3,<20,America/Los_Angeles,33.8047,-118.3523,0,1,lifestyle,,,,
261639,1087,1000-3000,"[""performance""]",active_talent,33156,7/17/18,7/21/18,4,1,instagram,1,7/12/18,25,18-24,New York,US,female,1,-4,<20,America/New_York,40.7449,-73.9782,0,1,performance,,,,
245869,14000,10000-20000,null,active_talent,42612,7/5/18,7/12/18,7,1,instagram,1,7/3/18,27,25-34,,US,male,5,-2,<20,America/New_York,,,0,,,,,,
14107,4266,3000-6000,"[""performance""]",active_talent,47,4/9/18,4/26/18,17,1,instagram,0,4/22/18,28,25-34,California,US,male,62,14,60-120,America/Los_Angeles,37.7484,-122.4156,0,1,performance,,,,
291085,215000,>20000,"[""performance""]",active_talent,42612,7/24/18,7/27/18,3,1,instagram,1,7/23/18,40,35+,Utah,US,female,16,1,<20,America/Denver,40.8194,-111.9463,1,1,performance,,,,
259183,5597,3000-6000,"[""performance""]",followup,883,7/16/18,,,0,instagram,0,7/11/18,0,0-12,Texas,US,male,0,,<20,America/Chicago,32.9193,-96.982,0,1,performance,,,,
274013,4645,3000-6000,"[""lifestyle""]",active_talent,33156,7/23/18,7/30/18,7,1,instagram,1,7/16/18,31,25-34,,US,female,15,5,<20,America/New_York,,,0,1,lifestyle,,,,
275224,737,<1000,"[""dance""]",active_talent,33156,7/17/18,7/21/18,4,1,instagram,1,7/16/18,25,18-24,,US,male,14,1,<20,America/Los_Angeles,,,0,1,dance,,,,
258012,7871,6000-10000,"[""performance""]",active_talent,223391,7/13/18,7/17/18,4,1,instagram,1,7/10/18,46,35+,,US,male,2,1,<20,,37.751,-97.822,0,1,performance,,,,
232399,12000,10000-20000,"[""comedy""]",active_talent,42612,6/25/18,7/3/18,8,1,other,1,6/24/18,14,13-17,Colorado,US,male,71,0,60-120,America/Denver,,,0,1,comedy,,,,
196529,4806,3000-6000,null,active_talent,47,6/7/18,6/10/18,3,1,instagram,0,6/6/18,24,18-24,Washington,US,female,293,1,>200,America/Los_Angeles,47.3078,-122.3177,0,,,,,,
229060,1151,1000-3000,"[""pet""]",active_talent,8053,6/25/18,6/28/18,3,1,instagram,1,6/22/18,21,18-24,,US,female,6,0,<20,America/Los_Angeles,,,0,1,pet,,,,
146324,,,"[""comedy""]",sent_contract,,4/19/18,,,0,other,1,5/21/18,22,18-24,Estado de Mexico,MX,male,7,32,<20,America/Mexico_City,19.6984,-99.2119,0,1,comedy,,,,
245014,22200,>20000,"[""performance""]",sent_contract,883,7/3/18,,,0,instagram,1,7/2/18,16,13-17,California,US,female,9,2,<20,America/Los_Angeles,34.2313,-118.1486,0,1,performance,,,,
291631,2759,1000-3000,"[""fashion"", ""lifestyle""]",sent_contract,222515,7/27/18,,,0,instagram,1,7/23/18,22,18-24,New Jersey,US,female,4,1,<20,America/New_York,39.9133,-75.0639,0,2,fashion,lifestyle,,,
255762,18300,10000-20000,"[""performance""]",active_talent,223391,7/11/18,7/17/18,6,1,instagram,1,7/9/18,33,25-34,Georgia,US,male,2,0,<20,America/New_York,33.7606,-84.1763,0,1,performance,,,,
274811,23500,>20000,"[""performance""]",sent_contract,3737,7/18/18,,,0,instagram,1,7/16/18,28,25-34,California,US,male,7,1,<20,America/Los_Angeles,34.1352,-118.2416,0,1,performance,,,,
260587,1103,1000-3000,"[""lifestyle""]",active_talent,33156,7/13/18,7/20/18,7,1,instagram,1,7/12/18,24,18-24,Florida,US,female,14,0,<20,America/New_York,26.2977,-80.1776,0,1,lifestyle,,,,
8531,,,"[""lifestyle""]",active_talent,42612,4/26/18,4/28/18,2,1,other,0,4/17/18,16,13-17,Canarias,ES,male,48,-1,20-60,Europe/Madrid,43.2879,-8.3886,0,1,lifestyle,,,,
282140,12400,10000-20000,"[""lifestyle""]",active_talent,33156,7/19/18,7/24/18,5,1,instagram,1,7/19/18,19,18-24,Texas,US,male,12,1,<20,America/Chicago,29.6919,-95.6512,0,1,lifestyle,,,,
180774,1445,1000-3000,"[""lifestyle""]",active_talent,8053,7/2/18,7/26/18,24,1,instagram,1,5/24/18,26,25-34,Alberta,CA,male,43,-38,20-60,America/Edmonton,51.1188,-113.9471,0,1,lifestyle,,,,
235980,1900,1000-3000,"[""performance""]",active_talent,47,7/2/18,7/10/18,8,1,instagram,1,6/27/18,,UNKNOWN,Texas,US,female,237,-4,>200,America/Chicago,29.4616,-98.5735,1,1,performance,,,,
255557,22700,>20000,"[""lifestyle""]",active_talent,33156,7/10/18,7/27/18,17,1,instagram,1,7/9/18,,UNKNOWN,Delaware,US,female,1,1,<20,America/New_York,39.6387,-75.6195,0,1,lifestyle,,,,
226414,17500,10000-20000,"[""lifestyle""]",not_interested,33156,6/21/18,,,0,instagram,1,6/20/18,31,25-34,,US,male,7,2,<20,,37.751,-97.822,0,1,lifestyle,,,,
275050,126000,>20000,"[""fashion""]",active_talent,223391,7/18/18,7/29/18,11,1,instagram,1,7/16/18,28,25-34,,US,female,13,-2,<20,America/Los_Angeles,,,0,1,fashion,,,,
277655,1831,1000-3000,"[""comedy""]",active_talent,42612,7/19/18,7/25/18,6,1,instagram,1,7/17/18,23,18-24,California,US,female,28,1,20-60,America/Los_Angeles,33.9853,-118.3379,0,1,comedy,,,,
234125,850,<1000,null,not_interested,883,6/27/18,,,0,instagram,1,6/26/18,28,25-34,Oregon,US,female,15,0,<20,America/Los_Angeles,45.5073,-122.6932,0,,,,,,
258008,6863,6000-10000,"[""sport""]",sent_contract,103328,7/16/18,,,0,instagram,1,7/10/18,20,18-24,,US,male,6,1,<20,America/Chicago,,,0,1,sport,,,,
297069,1101,1000-3000,null,active_talent,245925,7/26/18,7/31/18,5,1,instagram,1,7/26/18,37,35+,Florida,US,male,9,1,<20,America/New_York,26.6779,-80.038,0,,,,,,
260143,529,<1000,"[""sport""]",active_talent,42612,7/12/18,7/17/18,5,1,instagram,1,7/11/18,33,25-34,,US,male,24,0,20-60,,37.751,-97.822,0,1,sport,,,,
257520,6375,6000-10000,"[""fashion""]",active_talent,42612,7/11/18,7/15/18,4,1,instagram,1,7/10/18,36,35+,Texas,US,female,1,1,<20,America/Chicago,29.5813,-95.0273,0,1,fashion,,,,
272264,1405,1000-3000,"[""fashion""]",active_talent,223391,7/16/18,7/20/18,4,1,instagram,1,7/15/18,32,25-34,,US,female,18,0,<20,America/New_York,,,0,1,fashion,,,,
